site,al,ca,dy,mn,na,k,u,eu,sm,la,ti,lu,nd,co,sc,fe,ce,yb,cs,ta,cr,th,ni,rb,tb,hf,zn,id
"Knossos",62900,67000,4.24,1082,5400,24100,1.88,1.19,4.37,25.6,4460,.336,21.2,42.8,21.8,62200,54.1,2.26,6.79,.866,464,9.22,543,112,.63,3.39,207,639
"Knossos",86300,77000,4.45,769,7870,22500,2.29,1.25,4.83,27,4590,.335,25.8,29.8,21.84,56800,60,2.44,7.43,1.039,374,9.95,327,120,.67,4.1,182,640
"Knossos",65700,58000,4.42,821,8530,22700,2.37,1.22,4.68,26.7,4530,.353,23,33.4,19.88,54900,57,2.4,7.5,.955,432,9.73,384,115,.65,4.02,166,641
"Knossos",65700,127000,4.34,620,5300,21900,3.14,1.19,4.39,25.2,3540,.339,23.1,28.5,18.76,49000,49.9,2.35,6.53,.794,358,8.28,369,93,.65,3.36,170,642
"Knossos",85100,61000,4.3,816,6260,20500,2.27,1.18,4.42,26.2,4660,.346,26.2,43.1,24.16,64200,53.5,2.43,8.39,.922,455,10.43,510,127,.62,3.54,207,643
"Knossos",71600,86000,4.59,875,7820,20200,2.27,1.23,4.69,28.4,4430,.369,24.1,28.5,19.7,51800,56.6,2.38,5.32,.967,406,9.28,344,92,.68,4.1,157,644
"Knossos",73800,99000,4.77,742,10820,8600,3.36,1.35,5.04,28.4,3880,.364,28,34.7,21.6,55900,56.6,2.67,7.89,.894,413,9.67,464,68,.73,3.75,169,645
"Knossos",79500,89000,4.28,894,7060,20500,2.09,1.21,4.54,25.3,4620,.33,23,42.3,22.7,61600,55.1,2.46,6.87,.923,422,9.92,497,95,.63,3.6,195,646
"Knossos",64200,94000,4,609,5350,20300,2.85,1.18,4.29,24.2,4020,.34,23.2,29.6,18.69,48600,48.1,2.37,5.12,.795,330,8.24,393,80,.66,3.44,195,647
"Knossos",60500,93000,4.86,586,8720,19900,1.91,1.38,5.13,27.9,3770,.344,26.7,19.4,16.3,42700,54.1,2.56,4.4,.906,299,9.05,198,80,.75,4.52,132,648
"Knossos",71000,87000,4.39,554,5190,24300,2.83,1.24,4.56,26.4,3950,.373,22.1,28.4,20.58,51800,51.8,2.49,6.37,.826,354,8.84,398,103,.67,3.39,185,649
"Knossos",64500,91000,4.22,791,6450,21000,2.33,1.18,4.43,26.1,3710,.299,20.2,29.2,17.98,49100,51.9,2.18,4.94,.878,395,8.79,385,88,.59,3.82,168,650
"Knossos",71700,85000,4.45,606,4860,25700,3.74,1.28,4.62,26.4,4030,.377,23.1,33,21.18,53000,52.7,2.56,6.08,.84,402,8.96,437,92,.68,3.37,204,651
"Knossos",61900,87000,3.68,829,6180,19700,1.93,.99,3.83,23.8,3640,.32,17.1,33,18.02,49200,48,2.08,5.01,.81,310,8.31,366,81,.56,3.15,181,652
"Knossos",71800,63000,4.19,611,8190,20200,2.36,1.24,4.66,28.2,4310,.322,23.5,26.8,20.38,54400,57.1,2.33,5.92,.993,395,9.63,335,102,.61,4.19,172,653
"Knossos",73500,99000,4.97,791,5300,22400,3.2,1.42,5.1,25.2,3970,.395,26.2,35.1,21.9,54300,55.9,2.79,8.73,.86,404,9.1,435,100,.76,3.43,173,654
"Knossos",81500,67000,4.04,826,6280,28900,2.1,1.18,4.31,28.3,4200,.358,23.8,50.5,24.35,63100,54.5,2.44,8.52,.924,437,10.23,619,133,.59,3.41,211,655
"Knossos",71500,56000,3.7,780,6650,21500,1.64,.95,3.64,21.2,3810,.29,22.6,34.4,21.23,55000,47,2.13,5.28,.778,339,8.35,371,103,.51,3.22,179,656
"Korakou",92800,81000,5.07,946,5040,29823,2.67,1.2355,5.42,35.6,5160,.4281,31.2,30.6,25.11,55400,64.5,3.2133,10.31,.818,248,12.51,238,178,.73,3.24,127,659
"Korakou",81100,116000,4.47,991,5720,31687,3.14,1.1817,4.91,31.8,4170,.3583,22,24.9,20.93,51200,60.2,2.6848,12.24,.706,214,10.05,218,173,.71,3.18,189,660
"Korakou",92100,106000,4.9,1045,7200,32153,2.48,1.1996,5.33,34,4470,.4069,29.9,28.5,23.23,53900,65.6,2.7799,11.71,.979,207,11.12,214,190,.79,3.39,167,661
"Korakou",87900,95000,4.97,1028,6800,35881,2.8,1.1728,5.25,35.1,4520,.3721,30.8,29.4,23.5,55800,67.5,2.9702,11.23,.774,228,11.46,216,180,.72,3.05,117,662
"Korakou",82700,95000,4.96,1225,5220,29823,2.79,1.2444,5.37,34.1,4640,.3985,29.6,30.5,21.91,54800,62.3,2.9173,9.57,.815,215,11.25,225,150,.71,3.48,146,663
"Korakou",90000,129000,4.62,890,12610,12861,3.02,1.2444,5.24,34.3,4440,.3615,27.2,30.5,22.91,56600,61.8,2.8433,13.27,.744,235,11.19,203,172,.77,3.16,149,664
"Korakou",98200,78000,5,872,4000,28145,2.55,1.1549,5.59,35.7,4780,.4535,34.1,34.3,24.77,62900,67.5,3.2661,11.02,.837,252,12.05,245,197,.78,3.4,157,665
"Korakou",88400,115000,4.85,964,7640,28518,2.72,1.2713,5.42,34.4,4450,.4228,31.5,31.6,22.48,48900,66.1,2.8328,11.57,.852,226,12.31,208,174,.79,3.64,126,666
"Korakou",62900,115000,4.09,559,10250,15098,2.22,1.0385,4.35,24.7,3360,.3256,21.1,18.3,16.65,41200,47.5,2.3571,6.5,.696,319,8.32,212,80,.68,4.09,136,667
"Korakou",91700,49000,4.5,938,17380,24697,2.4,1.3339,4.91,29.9,4210,.4017,21.1,23.3,21.46,51400,57.9,2.4417,4.6,.844,156,11.23,142,96,.73,4.35,80,668
"Korakou",85900,81000,4.69,938,5850,28239,2.84,1.3071,5.26,34,4820,.4302,29.4,28.3,22.22,54300,65.5,2.7376,10.39,.836,199,11.08,210,168,.68,3.56,140,669
"Korakou",88500,91000,4.3,848,6540,26095,2.53,1.2265,5.13,33.6,4720,.3847,32.9,27.8,23.18,51500,64.1,2.6319,11.46,.81,217,11.37,218,184,.77,3.88,102,670
